player,Zona,Equipo,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Fuera,%Bloqueado,%Parado,%Gol,%Palo
Brandon,14,Osasuna,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Brandon,18,Osasuna,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Bruno,19,Villarreal,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Bryan Gil Salvatierra,7,Leganes,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Bryan Gil Salvatierra,8,Leganes,0,2,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Bryan Gil Salvatierra,12,Leganes,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Bryan Gil Salvatierra,13,Leganes,1,1,0,0,0,2,50.0,50.0,0.0,0.0,0.0
Bryan Gil Salvatierra,14,Leganes,2,0,2,0,0,4,50.0,0.0,50.0,0.0,0.0
Bryan Gil Salvatierra,19,Leganes,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Carles Aleñá,7,Real Betis,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Carles Aleñá,8,Real Betis,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Carles Aleñá,13,Barcelona,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carles Aleñá,13,Real Betis,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carles Aleñá,14,Real Betis,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Carles Aleñá,18,Real Betis,0,0,1,1,0,2,0.0,0.0,50.0,50.0,0.0
Carles Pérez,7,Barcelona,0,2,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Carles Pérez,8,Barcelona,0,0,3,0,0,3,0.0,0.0,100.0,0.0,0.0
Carles Pérez,12,Barcelona,2,2,0,0,0,4,50.0,50.0,0.0,0.0,0.0
Carles Pérez,13,Barcelona,0,0,2,1,0,3,0.0,0.0,66.67,33.33,0.0
Carles Pérez,14,Barcelona,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Carlos Bacca,8,Villarreal,2,0,2,0,0,4,50.0,0.0,50.0,0.0,0.0
Carlos Bacca,12,Villarreal,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carlos Bacca,13,Villarreal,3,2,1,0,0,6,50.0,33.33,16.67,0.0,0.0
Carlos Bacca,14,Villarreal,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Carlos Bacca,18,Villarreal,3,0,0,2,0,5,60.0,0.0,0.0,40.0,0.0
Carlos Bacca,19,Villarreal,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Carlos Clerc,19,Levante,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carlos Fernández,7,Granada,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carlos Fernández,8,Granada,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Carlos Fernández,9,Granada,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Carlos Fernández,12,Granada,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carlos Fernández,13,Granada,5,1,3,3,0,12,41.67,8.33,25.0,25.0,0.0
Carlos Fernández,14,Granada,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carlos Fernández,17,Granada,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
